,cangdan,cangdan_huanbi,member_oi,jicha_mom,kucun_tongbi,kucun_shuiwei,kucun_huanbi_week,kucun_huanbi_month,kucun_huanbi_diff_week,kucun_huanbi_diff_month,rtn_skew,ret_skew,rtn_kurt,rv_umd,rtn_skew_std,ERR,ew_signal_5
2015-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0
2015-01-06,0.999988721730001,1.00022661453,1.00035698051,1.00020399867,0.999540313514999,0.999479627434999,0.999316747875,0.999316747875,0.999825047435,0.99933788463,,,,,,,0.9998421382250005
2015-01-07,0.998920992465,0.999798354565001,1.00050424126,1.000532499815,0.998599892995,0.998737976025001,0.999278735445,0.999278735445,0.999468551345001,0.998917682810001,,,,,,,0.9992694560850006
2015-01-08,0.99675830326,0.999961634825002,0.998921334000002,1.002469516915,0.998940405105002,0.999392862895001,1.00088660487,1.00088660487,0.999485337345,0.998859302600002,,,,,,,0.9997588488250014
2015-01-09,0.992374580205,1.00096168653,0.995420410715002,1.007997186365,1.00618124036,1.009307166075,1.0054518419,1.0054518419,1.00238079318,1.00070296246,1.0,,1.0,,,,1.004484560990004
2015-01-12,0.98647703549,1.00328769237,0.994847144025003,1.012962633955,1.012842231525,1.025573482645,0.999861484780001,0.999861484780001,1.001007955025,0.994592529060002,0.999881434575001,,0.999975796665001,,,,1.005090029945004
2015-01-13,0.98158136407,0.999393092845002,0.999100722155003,1.008106757305,1.0070745157,1.032276632745,0.994074817925002,0.994074817925002,0.99793645841,0.987239969500002,1.00118406726,,1.00250844939,,,,1.000237857485004
2015-01-14,0.97673557062,0.995464250705002,1.003084931425,1.00250490307001,0.996325202350002,1.022081632745,0.991610343615002,0.991610343615002,0.99762048236,0.985416630235002,1.002496826815,,1.004000286425,,,,0.9946514246450036
2015-01-15,0.980287874215001,0.995945354010001,1.004982309355,1.00058570256001,0.990703414400002,1.021215545365,0.991393606600003,0.991393606600003,0.999477963965,0.986947756780002,1.000036439765,,1.00253376329,,,,0.9943495217650048
2015-01-16,0.978124287165001,0.996735537200001,1.00750566615,1.00126122838501,0.990217114400002,1.018262484745,0.993240969025003,0.993240969025003,0.999166941039999,0.989035767760002,0.998234785435,,0.999601480369999,1.0,,1.0,0.9945936794050051
2015-01-19,0.977219688465,0.994172985225003,1.0097921317,0.994369961540005,0.982486364400002,1.017966860555,0.987805620880003,0.987805620880003,0.999300011605,0.984785508430002,0.993003902020001,,0.998072188854999,0.999991305765,,1.00000333256,0.9882084637500053
2015-01-20,0.978305122825,0.997614471690002,1.00563832335,0.996413035060004,0.987150153885002,1.016615269965,0.990532345570004,0.990532345570004,0.997077575349999,0.987569616260002,0.99492195394,,0.999230067384999,0.999772702635,,0.999726129519999,0.9913610071400061
2015-01-21,0.976777720445,0.996041619570003,1.000552110825,0.997054345680004,0.984777572345002,1.01576054159,0.987574637570004,0.987574637570004,0.99535094111,0.983902546685001,0.989468308815,,0.995773470229999,0.997701038085,,0.995300539345,0.9860520883600059
2015-01-22,0.980273707685,0.996291741200003,0.999705299240004,0.999117501760003,0.988057058370003,1.01535715540001,0.984332055855005,0.984332055855005,0.992760272295001,0.983708470000002,0.988149886000001,,0.994298031379999,0.998103274945,,0.995094301244999,0.9859229631000058
2015-01-23,0.976233428665001,0.992960798290003,0.997974490315004,0.998259415355002,0.988203056870004,1.01157315600501,0.982845708070005,0.982845708070005,0.992066809420001,0.981801126315001,0.986803562595001,,0.993165463189999,0.998776594445001,,0.995150272054999,0.9832886479000059
2015-01-26,0.973753182330001,0.996042331100004,0.994219437900004,0.999675057445003,0.984790692400004,1.01083406700001,0.975785679020006,0.975785679020006,0.984533901140002,0.972393597745,0.990393311790003,,0.994210945785,1.002335793345,,0.99801284973,0.9810347655850052
2015-01-27,0.971723655475001,0.995843378575003,0.996878429845004,0.997579974230001,0.982522195490005,1.01003721700001,0.975617024280006,0.975617024280006,0.986405319800002,0.972690312025,0.988986781470002,,0.993862215209999,1.001808914005,,0.995464746669999,0.9809457419950047
2015-01-28,0.974370634765001,0.993827539225002,0.997910857650004,0.997995849865001,0.979701617320006,1.00715100472001,0.978177291725007,0.978177291725007,0.986106935620002,0.97367116055,0.987628893275001,,0.994584415259999,1.00494610096,,0.998963813979999,0.9817495106500058
2015-01-29,0.972881391715001,0.987300484680002,0.997809667040004,0.997809532735,0.977628726795006,1.00532043153001,0.975898444535006,0.975898444535006,0.986481098040003,0.973014011825,0.982699732619998,,0.998834710914998,1.004514907495,,1.005491784205,0.9804420168900067
2015-01-30,0.973753810985001,0.988902052360002,1.001560590795,0.99821067873,0.973806206230007,1.00408684511001,0.974813959685006,0.974813959685006,0.985790711140004,0.973449787,0.982892012229997,1.0,1.002154527165,1.005715750525,1.0,1.009283613615,0.9820637490850067
2015-02-02,0.971071409225001,0.985551648885002,1.004940313235,0.992994564389999,0.970960917750007,1.00342394511001,0.970710127355005,0.970710127355005,0.985193551890003,0.969660773475,0.979212203869997,0.999647932695,1.0009691107,1.005271865655,0.999757356294999,1.003131489585,0.9773870924950064
2015-02-03,0.978629097175001,0.987244052235002,1.006936222415,0.988479853059999,0.971403333250007,1.00229599511001,0.966429723925005,0.966429723925005,0.979878192210003,0.964909170589999,0.976946351419996,1.000258343425,1.00080848472,1.007574637695,0.998333946344999,1.003938720975,0.976925687290006
